name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;616;0;408;3087;1085;3087;1108;0
header;347;178;347;229;1918;229;1918;178
D;667;378;667;405;706;405;706;378
B;979;1079;979;1098;994;1098;994;1079
B;868;1807;868;1825;882;1825;882;1807
A;848;1924;848;1924;849;1924;849;1924
A;582;2022;582;2022;582;2022;582;2022
B;798;2217;798;2235;812;2235;812;2217
A;819;2253;819;2253;820;2253;820;2253
A;825;2475;825;2475;825;2475;825;2475
A;988;2892;988;2892;988;2892;988;2892
A;998;3008;998;3008;999;3008;999;3008
